"","State","UFO_mean","UFO_se"
"1","AB",23.75,8.41996634989317
"2","AK",28.25,8.98494110535326
"3","AL",58.75,25.6527288996707
"4","AR",27.25,8.25
"5","AZ",194.25,67.7758253361772
"6","BC",33.6666666666667,6.48930744464393
"7","CA",540.25,193.423703735263
"8","CO",134.25,44.4379248690425
"9","CT",58.75,20.0639602272333
"10","DC",4.66666666666667,1.45296631451356
"11","DE",27.3333333333333,6.48930744464393
"12","FL",349.75,132.656432812988
"13","GA",113.5,44.4344085891403
"14","HI",29.25,13.6648880956511
"15","IA",48.3333333333333,10.9898943478897
"16","ID",61.75,20.8860998433567
"17","IL",119.25,39.8797672176422
"18","IN",73.25,28.6687257012469
"19","KS",38.5,12.8419884233972
"20","KY",50.75,18.5803435562066
"21","LA",52.75,22.2050106957867
"22","MA",110.25,41.9491259344777
"23","MB",9.33333333333333,1.85592145427667
"24","MD",113.333333333333,18.7646239267168
"25","ME",42.25,13.4559466407979
"26","MI",121.75,41.1367131242479
"27","MN",81.25,30.349011516028
"28","MO",86.25,29.0728252267761
"29","MS",27.5,9.61335876094649
"30","MT",39,13.3603892158874
"31","NB",8,4.50924975282289
"32","NC",164.75,57.495470836116
"33","ND",10.3333333333333,0.333333333333333
"34","NE",20.3333333333333,3.71184290855335
"35","NF",2,NA
"36","NH",56,20.6881608655772
"37","NJ",102.25,34.9317787503967
"38","NM",63,22.2897584853074
"39","NS",8.33333333333333,2.185812841434
"40","NT",1,NA
"41","NV",65.25,24.0533261733175
"42","NY",200.75,71.8614117590241
"43","OH",155,58.0387801388003
"44","OK",49,19.4422220952236
"45","ON",89.3333333333333,22.6740184156032
"46","OR",143.5,51.0138869982152
"47","PA",198,76.6887649311597
"48","PE",1,NA
"49","QC",12.3333333333333,1.76383420737639
"50","RI",38,5.5075705472861
"51","SA",1,NA
"52","SC",148.666666666667,55.636718490979
"53","SD",17.6666666666667,1.76383420737639
"54","SK",8.66666666666667,1.20185042515466
"55","TN",87.5,30.7638857536994
"56","TX",154.5,61.613716005448
"57","UT",75,0.577350269189626
"58","VA",104.25,38.7908386950665
"59","VT",24.5,9.90370301116372
"60","WA",207.75,76.2849646610217
"61","WI",123.666666666667,15.059142664102
"62","WV",35.75,13.8766890863779
"63","WY",17.6666666666667,2.02758751009941
"64","YT",2,0
"65",NA,169.75,63.1233910686047
